,x_grid,x_q
0,0.0,0.14659032616582776
1,0.05,0.1261714629976788
2,0.1,0.10859678459932119
3,0.15000000000000002,0.09347011871874962
4,0.2,0.0804504767386249
5,0.25,0.06924436703613303
6,0.30000000000000004,0.05959917903050403
7,0.35000000000000003,0.051297488779939865
8,0.4,0.04415215776346914
9,0.45,0.03800211436339544
10,0.5,0.032708722953591715
11,0.55,0.028152658744833758
12,0.6000000000000001,0.024231217939251072
13,0.65,0.02085600255880735
14,0.7000000000000001,0.017950927758706905
15,0.75,0.015450506706149019
16,0.8,0.013298374361791302
17,0.8500000000000001,0.011446016886680262
18,0.9,0.00985167803266161
19,0.9500000000000001,0.008479417863883369
